GEOID,county,population,white,black,hisp,ai,deaths.male,pop.at.risk.male,pop.at.risk.male.se,deaths.female,pop.at.risk.female,pop.at.risk.female.se,ICE,ICE.se,income,income.se,college,college.se,insurance,insurance.se,rate.male,rate.female
48435,"Sutton County, Texas",3865,38.033635187580856,0.07761966364812418,61.707632600258734,0,19,1296,195.79325831090304,NA,1314,215.92822881689185,0.01954177897574124,0.053337964183234395,60543,7727.051671732523,17.7,3.161094224924012,82.4,3.465045592705167,0.014660493827160493,NA
48437,"Swisher County, Texas",7484,46.95350080171031,5.251202565473009,43.47942276857295,0.66809192944949225,26,2152,201.87558049452144,16,2078,51.804922546028386,-0.18217979315831345,0.027711120076225983,38418,1890.5775075987842,12.8,1.519756838905775,81.1,2.370820668693009,0.012081784386617101,0.007699711260827719
48441,"Taylor County, Texas",136348,63.89899375128348,7.544665121600611,24.106697567987794,0.5295273858069058,598,35270,54.083269131959845,419,38540,110.4139936783377,-0.047431389192029424,0.008796032406779125,50818,958.6626139817629,24.5,0.6686930091185411,86.5,0.48632218844984804,0.0169549191947831,0.01087182148417229
48447,"Throckmorton County, Texas",1567,82.45054243777919,1.021059349074665,14.996809189534142,0,NA,566,83.32166584988565,NA,545,76.67300698420534,-0.1422475106685633,0.053384584134308896,44196,7855.31914893617,19,2.9787234042553195,82.6,3.6474164133738602,NA,NA
48451,"Tom Green County, Texas",117466,53.79854596223588,4.002860402158922,39.431835594980676,0.2111249212538096,446,32490,223.9280018220142,274,35993,243.87496796514398,-0.0396930282163641,0.008984719055963862,51675,1403.6474164133738,24.2,0.790273556231003,84.9,0.6686930091185411,0.013727300707910126,0.007612591337204456
48453,"Travis County, Texas",1203166,49.06829149094971,7.8893519265005825,33.88360375874983,0.163152881647254,2495,304384,131.23928527693224,1539,320018,145.2885060835853,0.13941598834419522,0.003059303861928088,71767,500.30395136778117,48.6,0.303951367781155,86.5,0.24316109422492402,0.008196882884777124,0.004809104487872557
48457,"Tyler County, Texas",21496,79.28451804986975,11.216040193524377,7.5409378489021215,0.05582433941198362,108,7312,241.44616377155384,85,7457,294.32974705251934,-0.12207977207977208,0.025136859419728538,43936,2055.31914893617,12.5,1.1550151975683889,85,1.21580547112462,0.01477024070021882,0.011398685798578516
48467,"Van Zandt County, Texas",54368,84.08254855797529,2.6173484402589757,10.559520306062389,0.5481165391406709,268,18693,212.49411756563995,162,20100,238.4585917932084,-0.03956156003058883,0.015158613068253344,51935,1121.580547112462,17.1,0.9726443768996961,82.8,1.033434650455927,0.014336917562724014,0.008059701492537314
48469,"Victoria County, Texas",91970,45.045123409807545,5.659454169837991,46.46406436881592,0.16853321735348484,352,27415,178.93783836852393,212,29227,285.65932507096636,0.0028883972468043266,0.012951891456226786,55631,1672.948328267477,20.1,0.790273556231003,84.2,0.8510638297872339,0.012839686303118731,0.007253566907311732
48477,"Washington County, Texas",34796,64.27175537418094,16.58523968272215,15.757558340039084,0.22703759052764685,136,11826,315.8638947394906,85,12672,297.77928067614107,-0.009449963653985946,0.018748480941264415,56237,3210.9422492401213,25,1.580547112462006,88.4,0.9726443768996961,0.01150008455944529,0.00670770202020202
48483,"Wheeler County, Texas",5482,68.2232761765779,2.590295512586647,26.41371762130609,0.23713973002553812,25,1909,126.87592364195817,21,1914,88.86084627100959,-0.06388642413487133,0.03213729489813761,49352,3866.2613981762916,16.6,1.580547112462006,80.3,2.066869300911854,0.013095861707700367,0.0109717868338558
48485,"Wichita County, Texas",131818,65.63443535784187,9.950082689769227,18.82747424479206,0.6994492406196422,609,39102,120.33806546558739,440,40014,7.6648548583779466,-0.11860023774269567,0.009725535500415756,46575,867.4772036474164,23,0.6686930091185411,86.2,0.60790273556231,0.015574650912996778,0.01099615134702854
