GEOID,population,white,black,hisp,ai,income,income.se,college,college.se,insurance,insurance.se
55079101200,3184,90.64070351758794,1.9472361809045227,6.501256281407035,0.3454773869346734,50136,3216.413373860182,21.5,3.4042553191489358,95.7,1.580547112462006
55079101400,3926,78.42587875700458,6.189505858380031,11.538461538461538,1.4518593988792665,45597,2089.969604863222,24.9,3.465045592705167,93.1,2.188449848024316
55079120300,2183,70.6825469537334,3.0233623453962437,22.44617498854787,0,60240,4763.525835866261,28.3,3.5866261398176293,94.9,1.884498480243161
55079120501,4374,78.78372199359853,4.183813443072703,6.675811614083219,0,66918,3801.823708206687,35,3.3434650455927053,95.3,1.580547112462006
55079140201,5235,87.73638968481376,0.8213944603629417,6.112702960840497,0,60669,9792.09726443769,37.9,3.465045592705167,96.4,1.398176291793313
55079160203,6442,75.93914933250544,5.852219807513195,8.537721204594847,0.388078236572493,69278,4624.316109422492,36,3.708206686930091,94.7,2.127659574468085
55079160300,10218,85.05578391074575,2.0551967116852614,7.095321980818164,0.6948522215697788,110625,2534.954407294833,37.7,2.6747720364741645,97.1,0.9726443768996961
55079180100,2839,83.72666431842198,0,10.884114124691793,0.5988023952095808,59922,3498.480243161094,29,3.768996960486322,92.8,2.127659574468085
55079180300,3258,76.64211172498466,3.8060159607120934,12.829957028852057,0.6752608962553714,43576,3641.337386018237,19.1,3.8905775075987843,96.5,1.21580547112462
55079185800,1615,0.804953560371517,89.16408668730651,6.191950464396285,0,39405,6178.115501519756,13.4,3.951367781155015,93.3,2.613981762917933
55079001100,2225,15.191011235955056,76.98876404494382,4.269662921348314,0,29211,5016.413373860182,19.8,4.680851063829787,87,3.708206686930091
55079001600,3089,9.9384914211719,77.37131757850437,5.697636775655552,0,37014,3604.863221884498,9.9,4.012158054711246,95,1.8237082066869301
55079002400,2491,9.67482938578884,81.97511039743075,4.576475311120032,0.04014452027298274,27254,2573.8601823708204,9.4,2.492401215805471,87.1,2.5531914893617023
55079000900,3356,18.65315852205006,69.69606674612633,6.2276519666269365,0,37401,2973.252279635258,15.3,2.796352583586626,89.8,4.133738601823708
55079013300,1017,34.21828908554572,35.59488692232055,16.420845624385446,0,32277,2790.8814589665653,19.4,6.382978723404255,89,2.735562310030395
55079002600,2961,3.6474164133738602,92.19858156028369,3.005741303613644,0.43904086457277947,29637,6108.814589665653,10,3.2826747720364744,91.4,3.2826747720364744
55079003100,4121,9.02693520990051,69.10943945644262,8.638679932055327,0.5095850521718029,47586,6442.553191489362,19.2,3.465045592705167,87.6,2.796352583586626
55079004200,3677,1.7405493608920315,93.09219472395975,2.1212945335871636,0,25331,2289.969604863222,8.3,2.735562310030395,85.7,3.5866261398176293
55079004400,3124,20.550576184379,70.45454545454545,3.265044814340589,0.2880921895006402,30362,1887.5379939209727,14.8,2.917933130699088,86.7,3.3434650455927053
55079187200,5669,61.80984300582113,25.56006350326336,6.861880402187334,0.24695713529723054,90271,5034.650455927052,30.4,2.613981762917933,98.6,0.8510638297872339
55079186000,1499,11.541027351567712,79.51967978652435,3.402268178785857,1.33422281521014,13590,2415.197568389058,17.3,3.525835866261398,91.4,3.2826747720364744
55079014600,3666,66.93944353518822,14.92089470812875,6.73758865248227,0.7092198581560284,12759,3959.8784194528876,29.9,8.814589665653495,94.2,1.458966565349544
55079014800,2087,41.30330618112123,28.078581696214663,16.14758025874461,3.306181121226641,19699,1544.6808510638298,26.4,9.118541033434651,88.2,3.829787234042553
55079016500,2121,19.377652050919377,3.0645921735030646,76.001885902876,0.47147571900047147,23831,5096.048632218845,10.9,2.9787234042553195,79.5,4.133738601823708
55079016800,3499,6.801943412403544,13.518148042297799,79.50843098028008,0,29732,2634.6504559270516,2.1,1.094224924012158,70.8,4.25531914893617
55079017000,5492,26.16533139111435,7.1558630735615445,62.65477057538237,0.5644573925710124,31354,3043.161094224924,8.1,2.6747720364741645,83.3,4.984802431610942
55079018200,1635,91.43730886850153,0.42813455657492355,5.81039755351682,0,80278,7992.09726443769,64.4,3.525835866261398,96.8,1.458966565349544
55079018500,1976,63.71457489878542,0.7591093117408907,29.402834008097166,0.5060728744939271,60096,8918.54103343465,21.4,3.221884498480243,94.2,2.2492401215805473
55079019300,3213,65.70183629007158,3.3924680983504514,19.203236850295674,0.3112356053532524,63125,6312.462006079028,22.3,3.5866261398176293,96.9,1.1550151975683889
55079019800,5726,59.13377575969263,5.780649668180231,25.183374083129586,0,52378,4909.422492401216,16.7,2.796352583586626,91.7,2.735562310030395
55079020300,4028,46.25124131082423,0.24826216484607747,45.059582919563056,0,52226,5696.656534954407,16.8,3.525835866261398,92.6,1.762917933130699
55079020800,3227,86.89185001549427,0.7437248218159281,7.685156492097923,0.37186241090796407,68503,1734.3465045592704,50.1,3.8905775075987843,94,1.7021276595744679
55079021500,3016,74.86737400530504,2.420424403183024,10.643236074270558,0.1989389920424403,65809,5125.835866261398,26.8,4.012158054711246,93.2,1.884498480243161
55079009800,1616,1.2995049504950495,77.5371287128713,1.4232673267326732,0,22054,4257.75075987842,5.1,2.006079027355623,91.1,2.5531914893617023
55079010700,2424,64.10891089108911,14.48019801980198,20.04950495049505,0,56217,7390.881458966565,52.9,5.167173252279635,93.6,1.7021276595744679
55079010800,2584,79.21826625386997,8.6687306501548,4.527863777089784,0,45227,4426.13981762918,65.6,3.8905775075987843,89,3.03951367781155
55079011300,2321,80.26712623869022,10.03877638948729,3.576044808272296,0.17233950883239982,48571,15583.586626139817,70.4,3.221884498480243,97.2,1.1550151975683889
55079011400,1485,80.74074074074075,12.996632996632997,4.713804713804714,0,74856,14898.480243161093,73.5,3.8905775075987843,95.3,1.884498480243161
55079012600,2439,87.12587125871259,6.765067650676507,4.018040180401804,0,52743,2987.2340425531916,41.8,5.227963525835866,93.8,2.066869300911854
55079035100,2269,89.24636403702071,1.630674305861613,2.0273248126928163,0,152560,9375.683890577508,84.4,2.613981762917933,99.4,0.303951367781155
55079050101,5608,64.53281027104137,21.77246790299572,3.8873038516405134,0.01783166904422254,68231,4040.1215805471124,40,3.768996960486322,96.5,1.21580547112462
55079060101,4019,73.6252799203782,14.157750684249814,3.607862652401095,0.24881811395869619,76156,8499.088145896656,59.2,3.768996960486322,97.2,1.6413373860182372
55079004700,4139,0.7731336071514858,97.31819280019329,0,0.024160425223483932,34741,4167.781155015197,8,2.370820668693009,89.1,2.066869300911854
55079005700,2579,72.93524621946491,18.805738658394727,6.3202791779759595,0.11632415664986429,68783,4108.814589665653,43.3,3.768996960486322,95.1,1.9452887537993921
55079006400,1923,0.9880395215808633,97.08788351534061,0.9880395215808633,0.052002080083203325,19441,2310.6382978723404,0.4,0.48632218844984804,94.7,1.580547112462006
55079007200,2813,63.31318876644152,20.54745822964806,11.731247778172769,0.8531816565943833,56579,5675.379939209726,49.8,4.6200607902735555,89.3,2.370820668693009
55079007400,4073,77.01939602258777,9.133316965381782,5.720599067026762,0.7365578197888534,95481,12788.449848024316,79.1,4.25531914893617,98.6,0.547112462006079
55079008400,984,0,86.89024390243902,4.776422764227642,0,19073,3566.565349544073,5.7,2.3100303951367778,90.1,3.221884498480243
55079008600,999,2.1021021021021022,96.09609609609609,0,1.6016016016016017,22227,5689.969604863222,10.2,4.498480243161095,90.2,3.161094224924012
55079009200,1740,25.57471264367816,59.54022988505747,7.528735632183908,0.8045977011494253,35057,4429.179331306991,21.2,3.525835866261398,86.4,4.316109422492401
55079186100,2006,10.568295114656031,75.37387836490528,2.8414755732801593,4.237288135593221,18484,1188.449848024316,4.9,2.5531914893617023,93.5,2.006079027355623
55079186400,1408,72.72727272727273,7.670454545454546,11.150568181818182,0.5681818181818182,11364,2660.790273556231,59.2,6.261398176291793,97.2,1.519756838905775
55079186500,1896,37.130801687763714,7.014767932489452,48.83966244725738,0.2109704641350211,40195,6175.075987841945,34,4.984802431610942,84.7,4.984802431610942
55079186900,2356,83.95585738539899,3.607809847198642,3.098471986417657,0,54710,2086.322188449848,74.6,3.2826747720364744,94.6,3.3434650455927053
55079009400,2514,75.69610182975337,11.813842482100238,9.705648369132856,0.6364359586316627,73556,8627.963525835867,56.9,5.167173252279635,91.4,2.9787234042553195
55079009600,2068,3.6750483558994196,57.73694390715667,12.379110251450676,1.2572533849129595,26816,2719.756838905775,3.7,1.6413373860182372,94.6,1.7021276595744679
55079011000,2671,73.9423436915013,12.766754024709847,5.353800074878323,2.545862972669412,35110,4412.158054711246,56.3,5.288753799392096,95.2,1.6413373860182372
55079002000,2506,4.509177972865124,88.46767757382283,0.4788507581803671,0,32823,2696.048632218845,13.1,3.3434650455927053,95.2,1.458966565349544
55079002200,1906,31.951731374606506,54.40713536201469,12.067156348373556,1.5739769150052465,32397,5604.255319148936,16.3,2.917933130699088,87.7,5.592705167173252
55079002300,3935,2.7954256670902162,94.2312579415502,2.337992376111817,0,30638,5030.395136778116,12.6,2.796352583586626,89.7,2.857142857142857
55079002800,2404,7.945091514143095,88.10316139767055,2.038269550748752,0,32000,6417.629179331307,4.3,1.762917933130699,92.3,2.2492401215805473
55079003000,4575,9.551912568306012,65.92349726775956,12.808743169398907,0.02185792349726776,45926,6737.993920972644,14.1,2.43161094224924,95.3,1.519756838905775
55079003300,5298,17.308418271045678,64.96791241978104,5.587013967534919,0,43281,2979.9392097264436,21,3.525835866261398,93.5,1.9452887537993921
55079004000,2670,7.715355805243446,86.06741573033707,1.198501872659176,0,27604,1965.3495440729482,15,5.1063829787234045,91.1,3.768996960486322
55079016600,1697,19.32822628167354,17.030053034767235,58.80966411314083,1.2374779021803182,25281,2750.1519756838907,10.3,2.796352583586626,83.1,4.316109422492401
55079017100,2943,13.965341488277268,0.6116207951070336,78.11756710839279,0.6455997281685355,38988,1677.8115501519756,7.6,1.7021276595744679,83.5,3.525835866261398
55079017200,2898,15.38992408557626,2.587991718426501,78.32988267770877,0,50995,3841.9452887537996,8.8,2.492401215805471,82.1,4.012158054711246
55079017600,2745,12.422586520947176,9.253187613843352,73.87978142076503,2.185792349726776,28259,3678.4194528875378,5.9,2.3100303951367778,78,3.951367781155015
55079017900,3014,72.69409422694095,2.4883875248838754,15.428002654280027,2.9197080291970803,58378,6420.668693009118,45.6,4.133738601823708,94,1.519756838905775
55079018300,2312,83.39100346020761,1.8166089965397925,10.380622837370241,0.6487889273356401,71159,2532.5227963525836,44.9,5.410334346504559,94.8,1.458966565349544
55079016100,3561,20.106711597865768,3.369839932603201,74.61387250772255,1.2356079752878404,40213,3494.8328267477204,3.6,1.3373860182370823,74.2,4.376899696048632
55079016400,4334,6.529764651592063,10.08306414397785,79.21089063221044,1.015228426395939,31968,2201.2158054711244,1.4,1.1550151975683889,79.3,3.5866261398176293
55079185500,1747,0.8586147681740126,91.70005724098455,0.5151688609044076,0,23906,2534.3465045592707,7.9,2.43161094224924,86.1,3.2826747720364744
55079185900,980,1.4285714285714286,73.46938775510205,0,0,54167,17598.176291793312,23.4,5.531914893617021,87.7,5.775075987841945
55079185400,1442,1.1095700416088765,86.82385575589458,0.624133148404993,0.8321775312066574,19600,6538.601823708206,8.8,3.100303951367781,92.6,3.2826747720364744
55079120203,3480,71.49425287356321,6.494252873563219,14.540229885057471,2.6436781609195403,52619,2874.164133738602,28.4,3.221884498480243,93.9,1.580547112462006
55079120502,5288,78.25264750378214,3.1580937972768535,8.32072617246596,0.35930408472012104,50513,3652.887537993921,30.1,3.708206686930091,93.2,2.5531914893617023
55079130100,4786,87.98579189302131,0.22983702465524447,7.877141663184288,0.27162557459256165,64375,11281.45896656535,44.3,3.951367781155015,96.1,1.1550151975683889
55079140100,3073,88.67556134070941,0.13016596160104132,4.555808656036446,0.5206638464041653,72188,6041.337386018237,54.4,3.525835866261398,97.4,1.094224924012158
55079150100,8718,78.59600825877494,1.4796971782518926,9.417297545308557,0.24088093599449414,70703,6665.045592705167,39.1,2.492401215805471,97.2,0.790273556231003
55079160100,6509,78.5681364264864,4.547549546781379,6.636964203410662,1.3519741895836535,58536,4479.0273556231,25.4,3.100303951367781,95.9,1.3373860182370823
55079160202,7222,78.92550540016616,1.1631127111603434,12.655774023816118,1.938521185267239,71133,5168.996960486322,23.8,2.735562310030395,92.2,2.127659574468085
55079170100,2634,81.81473044798786,4.176157934700076,11.275626423690206,1.1769172361427487,66905,7052.279635258358,32.4,3.951367781155015,94.3,3.221884498480243
55079170600,3604,75.19422863485016,2.802441731409545,12.541620421753606,0,46598,5354.407294832827,18.9,3.465045592705167,96.1,1.6413373860182372
55079170700,2784,72.73706896551724,4.418103448275862,19.612068965517242,0,56512,5262.613981762918,16.1,3.100303951367781,91.5,2.735562310030395
55079180400,2531,76.45199525879099,7.111813512445674,13.07783484788621,0.7111813512445674,49444,3786.0182370820667,15.9,2.613981762917933,95.9,1.458966565349544
55079001300,4261,9.57521708519127,65.47758742079324,5.256981929124619,0,40130,2481.4589665653493,12.4,3.161094224924012,88,4.194528875379939
55079001700,4858,14.409221902017292,69.06134211609717,4.0757513379991765,0.9880609304240429,43599,4339.209726443769,14,2.613981762917933,92.8,1.762917933130699
55079000302,3176,10.044080604534004,73.04785894206549,4.596977329974811,0,42016,4204.255319148936,18.9,3.03951367781155,88.7,2.3100303951367778
55079000304,3495,35.7653791130186,44.148783977110156,5.636623748211731,0,69514,7595.744680851064,33.9,4.5592705167173255,96.8,1.398176291793313
55079000502,5095,13.130520117762511,70.20608439646712,6.869479882237488,0,39222,1905.1671732522796,10.4,3.3434650455927053,93.5,1.8237082066869301
55079000800,4996,20.416333066453163,61.16893514811849,4.1633306645316255,0,37438,2778.723404255319,24.5,3.951367781155015,95.3,1.580547112462006
55079001000,3737,12.202301311212203,80.73320845598073,0.4013914905004014,0,28717,3273.5562310030396,9.4,2.006079027355623,95.1,1.458966565349544
55079100100,3736,63.142398286937905,8.725910064239828,24.544967880085654,0.4282655246252677,41568,4021.276595744681,18.9,2.857142857142857,90.7,2.796352583586626
55079100300,2605,73.16698656429942,0.8445297504798465,16.084452975047984,1.1132437619961613,42027,3158.0547112462004,21.2,4.984802431610942,95.6,1.884498480243161
55079101000,5157,71.9022687609075,12.487880550707775,9.579212720573977,0,50684,4460.182370820668,33.7,4.012158054711246,96.3,1.458966565349544
55079101500,4251,66.80780992707598,8.115737473535638,20.865678663843802,0.7527640555163491,50197,2429.1793313069907,18.6,2.492401215805471,88.9,2.492401215805471
55079101600,4184,78.75239005736138,4.1586998087954115,12.523900573613767,0,54112,3933.130699088146,19.8,3.465045592705167,95.7,1.580547112462006
55079120102,3922,85.39010708822029,1.3258541560428352,5.7368689444161145,0,80405,6084.498480243161,40.3,2.735562310030395,98,0.729483282674772
55079090200,1883,81.04089219330855,10.51513542219862,2.867764206054169,0,84676,3967.7811550151973,59,3.768996960486322,97,1.398176291793313
55079090700,3163,95.47897565602277,0,2.023395510591211,0,138403,4897.872340425532,81.1,2.370820668693009,99.1,0.547112462006079
55079090900,3981,84.95352926400402,6.003516704345642,3.8432554634513942,0,84706,7277.203647416413,57.2,3.6474164133738602,96.8,0.9118541033434651
55079091200,5153,78.90549194643897,4.502231709683679,2.79448864738987,0,57646,5291.793313069908,57.8,4.498480243161095,96.5,1.9452887537993921
55079070200,4944,88.26860841423948,3.2766990291262137,2.26537216828479,0,143529,9737.993920972644,82.2,2.857142857142857,97.8,1.458966565349544
55079080400,3274,74.12950519242517,3.0238240684178375,5.039706780696396,0.3665241295051924,46481,3716.7173252279636,62.6,3.951367781155015,95.9,1.2765957446808511
55079006000,2411,5.806719203649938,84.15595188718375,8.170883450850269,0.20738282870178348,27941,2663.8297872340427,12.3,2.796352583586626,92.2,1.8237082066869301
55079006100,2287,9.138609532138172,79.14298207258418,6.252732837778749,0.2186270222999563,34293,7890.577507598784,23.8,3.525835866261398,92.6,2.066869300911854
